Original,BestMatch,Confidence
"Cuba","Cuba","Perfect match (100% coverage)"
"Cameroon","Cameroon","Perfect match (100% coverage)"
"Sri Lanka","Sri Lanka","Perfect match (100% coverage)"
"Burkina Faso","Burkina Faso","Perfect match (100% coverage)"
"Trinidad and Tobago","Trinidad and Tobago","Perfect match (100% coverage)"
"Mozambique","Mozambique, Republic of","Perfect match (100% coverage)"
"Jordan","Jordan","Perfect match (100% coverage)"
"Madagascar","Madagascar, Republic of","Perfect match (100% coverage)"
"Somalia","Somalia","Perfect match (100% coverage)"
"Yemen","Yemen, Republic of","Perfect match (100% coverage)"
"Ivory Coast","Anguilla, United Kingdom-British Overseas Territory","Coverage: 27.3%"
"Zimbabwe","Zimbabwe","Perfect match (100% coverage)"
"Zambia","Zambia","Perfect match (100% coverage)"
"Afghanistan","Afghanistan, Islamic Republic of","Perfect match (100% coverage)"
"Bosnia and Herzegovina","Bosnia and Herzegovina","Perfect match (100% coverage)"
"Senegal","Senegal","Perfect match (100% coverage)"
"Guinea","Equatorial Guinea, Republic of","Perfect match (100% coverage)"
"Croatia","Croatia, Republic of","Perfect match (100% coverage)"
"Lebanon","Lebanon","Perfect match (100% coverage)"
"Congo","Congo, Democratic Republic of the","Perfect match (100% coverage)"
"Honduras","Honduras","Perfect match (100% coverage)"
"Kyrgyzstan","Kyrgyz Republic","Coverage: 60.0%"
"Tajikistan","Tajikistan, Republic of","Perfect match (100% coverage)"
"Gabon","Gabon","Perfect match (100% coverage)"
"Panama","Panama","Perfect match (100% coverage)"
"Lithuania","Lithuania, Republic of","Perfect match (100% coverage)"
"Nicaragua","Nicaragua","Perfect match (100% coverage)"
"Malawi","Malawi","Perfect match (100% coverage)"
"Georgia","Georgia","Perfect match (100% coverage)"
"Benin","Benin","Perfect match (100% coverage)"
"Mauritania","Mauritania, Islamic Republic of","Perfect match (100% coverage)"
"Costa Rica","Costa Rica","Perfect match (100% coverage)"
"Puerto Rico","Costa Rica","Coverage: 36.4%"
"Slovenia","Slovenia, Republic of","Perfect match (100% coverage)"
"Estonia","Estonia, Republic of","Perfect match (100% coverage)"
"Haiti","Haiti","Perfect match (100% coverage)"
"Moldova","Moldova, Republic of","Perfect match (100% coverage)"
"El Salvador","El Salvador","Perfect match (100% coverage)"
"Namibia","Namibia","Perfect match (100% coverage)"
"Botswana","Botswana","Perfect match (100% coverage)"
"Central African Republic","Central African Republic","Perfect match (100% coverage)"
"Brunei","Brunei Darussalam","Perfect match (100% coverage)"
"North Macedonia","North Macedonia, Republic of","Perfect match (100% coverage)"
"Latvia","Latvia, Republic of","Perfect match (100% coverage)"
"Armenia","Armenia, Republic of","Perfect match (100% coverage)"
"Togo","Togo","Perfect match (100% coverage)"
"Cyprus","Cyprus","Perfect match (100% coverage)"
"Papua New Guinea","Papua New Guinea","Perfect match (100% coverage)"
"Guyana","Guyana","Perfect match (100% coverage)"
"Jamaica","Jamaica","Perfect match (100% coverage)"
"Luxembourg","Luxembourg","Perfect match (100% coverage)"
"Albania","Albania","Perfect match (100% coverage)"
"Rwanda","Rwanda","Perfect match (100% coverage)"
"Burundi","Burundi","Perfect match (100% coverage)"
"Equatorial Guinea","Equatorial Guinea, Republic of","Perfect match (100% coverage)"
"Sierra Leone","Sierra Leone","Perfect match (100% coverage)"
"New Caledonia","New Caledonia","Perfect match (100% coverage)"
"Eritrea","Eritrea, The State of","Perfect match (100% coverage)"
"Mauritius","Mauritius","Perfect match (100% coverage)"
"Liberia","Liberia","Perfect match (100% coverage)"
"Iceland","Iceland","Perfect match (100% coverage)"
"Suriname","Suriname","Perfect match (100% coverage)"
"Fiji","Fiji, Republic of","Perfect match (100% coverage)"
"Eswatini","Eswatini, Kingdom of","Perfect match (100% coverage)"
"Bhutan","Bhutan","Perfect match (100% coverage)"
"Macao","Macao Special Administrative Region, People's Republic of China","Perfect match (100% coverage)"
"Maldives","Maldives","Perfect match (100% coverage)"
"Guinea-Bissau","Guinea-Bissau","Perfect match (100% coverage)"
"Réunion","Comoros, Union of the","Coverage: 57.1%"
"Lesotho","Lesotho, Kingdom of","Perfect match (100% coverage)"
"Curaçao","Curaçao, Kingdom of the Netherlands","Perfect match (100% coverage)"
"Djibouti","Djibouti","Perfect match (100% coverage)"
"Bahamas","Bahamas, The","Perfect match (100% coverage)"
"Malta","Malta","Perfect match (100% coverage)"
"East Timor","Timor-Leste, Democratic Republic of","Coverage: 50.0%"
"The Gambia","Gambia, The","Coverage: 60.0%"
"Palau","Palau, Republic of","Perfect match (100% coverage)"
"Guadeloupe","Bangladesh","Coverage: 30.0%"
"French Polynesia","French Polynesia","Perfect match (100% coverage)"
"Seychelles","Seychelles","Perfect match (100% coverage)"
"Cape Verde","Cabo Verde","Coverage: 60.0%"
"Martinique","Eswatini, Kingdom of","Coverage: 40.0%"
"Barbados","Barbados","Perfect match (100% coverage)"
"Belize","Belize","Perfect match (100% coverage)"
"Comoros","Comoros, Union of the","Perfect match (100% coverage)"
"Solomon Islands","Solomon Islands","Perfect match (100% coverage)"
"Gibraltar","Gibraltar","Perfect match (100% coverage)"
"Western Sahara","American Samoa","Coverage: 28.6%"
"Vanuatu","Vanuatu","Perfect match (100% coverage)"
"Greenland","Greenland","Perfect match (100% coverage)"
"Samoa","American Samoa","Perfect match (100% coverage)"
"French Guiana","French Polynesia","Coverage: 53.8%"
"Aruba","Aruba, Kingdom of the Netherlands","Perfect match (100% coverage)"
"Saint Lucia","St. Lucia","Coverage: 54.5%"
"Cayman Islands","Solomon Islands","Coverage: 64.3%"
"Antigua and Barbuda","Antigua and Barbuda","Perfect match (100% coverage)"
"Bermuda","Bermuda","Perfect match (100% coverage)"
"Tonga","Tonga","Perfect match (100% coverage)"
"São Tomé and Príncipe","São Tomé and Príncipe, Democratic Republic of","Perfect match (100% coverage)"
"Grenada","Grenada","Perfect match (100% coverage)"
"Saint Kitts and Nevis","St. Kitts and Nevis","Coverage: 76.2%"
"Falkland Islands","Falkland Islands (Malvinas)","Perfect match (100% coverage)"
"Cook Islands","Falkland Islands (Malvinas)","Coverage: 66.7%"
"Saint Vincent and the Grenadines","St. Vincent and the Grenadines","Coverage: 84.4%"
"Dominica","Dominica","Perfect match (100% coverage)"
"Kiribati","Kiribati","Perfect match (100% coverage)"
"Turks and Caicos Islands","Falkland Islands (Malvinas)","Coverage: 33.3%"
"British Virgin Islands","Solomon Islands","Coverage: 40.9%"
"Faroe Islands","Faroe Islands","Perfect match (100% coverage)"
"Saint Pierre and Miquelon","Antigua and Barbuda","Coverage: 20.0%"
"Anguilla","Anguilla, United Kingdom-British Overseas Territory","Perfect match (100% coverage)"
"Saint Helena, Ascension and Tristan da Cunha","Trinidad and Tobago","Coverage: 13.6%"
"Global Total","Central African Republic","Coverage: 25.0%"
"European Union","Comoros, Union of the","Coverage: 42.9%"
